clase;medio;texto_limpio
Tràfic d'éssers humans;Ara;retinguts cultivant marihuana forca barcelonaquan finals maig alliberada naus industrials explotada cultivant marihuana mesos victimes relatar feia temps tancada sortir sorprendre perque cop catalunya tothom duia mascareta exemple evidencia magnitud cas vuit persones membres organitzacio criminal xinesa havien introduit il legalment deu compatriotes vuit homes dues dones catalunya forcar cultivar marihuana quatre naus industrials vivien condicions infrahumanes podien sortir explotant victimes venent marihuana grup criminal arribar guanyar milions euros set mesos segons investigacio comencar finals agents unitat central trafic essers humans descobrir organitzacio encapcalada conegut cap comunitat fujian xina arribar informacio mafia cultivava marihuana podia tractant persones explica inspector antoni salleras cap area central crim organitzat investigacio confirmar sospites agents accelerar feina alliberar victimes mes aviat millor sabiem quantes exactament veure entrar naus vivien lamentable insalubre condicions dolentes afirma tenien habitacions petites brutes matalassos junts nomes donaven menjar cop setmana feia sortien exterior
Homicidi Consumat;El Periódico;detingut home sabadell mort persona vivenda elsmossos esquadravan detenir dissabte matinadaun home anyscom apresumpte autor mort personaen vivenda sabadell valles occidental sembla mantingut unabaralla lageneralitatva informar comunicat fets passar cap hores dissabte alertats produint baralla interior vivenda poblacio
Incendi;El Periódico;dues families desallotjades confinades incendi forestal terrassa dues families sigut desallotjades confinadesa causa unincendi forestaldeclarat dissabte prop urbanitzacio martines terrassa valles occidental causat ferits bombers generalitat activat desena mitjans aeris terrestres segons tuit bombers passades hores dissabte
Robatori amb força;El Periódico;detinguts barcelona quatre presumptes fugitius reclamats franca alemanya lapolicia nacionalha detingut abarcelonaquatre presumptes fugitius reclamats perfranca alemanyaper nombrososdelictes robatori estafa continuada trafic drogues traves operacions diferents
Tràfic d'éssers humans;El Periódico;esclaus tercer barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Agressions sexuals i Abusos sexuals;El Periódico;parla director denunciat abus sexual problemes memoria antic director escola josefa puig coca esplugues llobregat lluis sigut novament denunciat altredelicte abus sexual menor presumptament perpetrat anys home anys sigut condemnat perabus sexual prostitucio corrupcio menorsque contractar despres jubilar docencia dedicar dirigir diversos cines barri parroquials ubicats comarca barcelonina maresme
Robatori amb força;El Periódico;detingut robar dotze vegades mes drogueria farmacia gracia elsmossos esquadrahan detingutun lladre multireincidentpersis robatoris violents furts drogueria robatoris mes farmaciadel districte barceloni gracia principis mes juny catalana informat diumenge jutge enviat preso lladre queacumula antecedents delictes violentsi atribueixen aixi robatoris mes districte sarria persona tambe detinguda sembla acompanyava puntual robatoris
Homicidi per imprudència;Ara;menors moren xoc cotxes detenen conductors barcelonados menors tretze quatre anys mort cap quarts onze passada nit accident transit carretera altura vidreres selva despres cotxes viatjaven xoquessin frontalment causes investiguen apunta conductors hauria adormit volant detingut home anys resident alemanya imprudencia greu servei catala transit tambe apuntat segons primeres investigacions victimes mortals feia sistemes seguretat passiva recomanats infants cadireta cinturo seguretat accident registrat vuit ferits mes greu
Homicidi per imprudència;Ara;condemnada quatre anys preso mare nado mes mort tarrega barcelonala mare nado mes morir tarrega novembre passatha acceptat pena quatre anys preso delicte homicidi imprudent parts arribar acord finals mes juny mare ingressar preso pacte ratificat dilluns penal lleida segons recull acn nado morir despres tretze dies ingressat greu hospital sant joan deu barcelona suposats maltractaments nen presentava cap lesio fisica superficial patia sindrome nen sacsejat consisteix serie lesions cerebrals originen agita bebe violencia segons fonts judicials jutge arxivar causa pare acord provat mare nado quedar casa bebe novembre mati parava plorar agafar nen sacsejar energicament provocar colpeges cap superficie llisa cosa causar danys hemorragia intracranial
Assassinat Consumat;Ara;home mata parella sabadell entrega barcelonaels detingut home anys presumpte assassinat parella sabadell valles occidental autor fets presentar dimecres nit voltant hores dependencies comissaria sabadell manifestar matat parella domicili ubicat numero rambla sabadell juntament metge forense certificar mort victima cos presentava signes violencia fets home quedar detingut segons informat tribunal superior justicia catalunya tsjc consta hagues denuncies previes victima home maltractaments detingut tenia antecedents colpejat parella tingut anterioritat expliquen fonts investigacio consultades agencia catalana noticies acn jutjat instruccio sabadell fet carrec cas nivell policial investigacio mans unitat investigacio criminal regio metropolitana nord
Agressions sexuals i Abusos sexuals;El Periódico;tsjc rebaixa pena principal acusat manada sabadell eltribunal superior justicia catalunya tsjc confirmat lacondemna quatre processats laviolacio multipled jove nau abandonada sabadell valles occidental febrer rebaixat anys preso pena principal acusat
Incendi;La Vanguardia;generalitat desactiva alerta incendios forestales catalunya generalitat desactivado alerta plan incendios forestales infocat previsiones favorables riesgo evolucion positiva fuegos permanecido activos ultimos controlados informado direccion proteccion civil generalitat desactivado plan infocat incendio iniciado sabado ensanta coloma queralt tarragona controlado afectar superficie hectareas detorroella montgri girona hectareas ventallo vilopriu girona
Agressions sexuals i Abusos sexuals;El Periódico;capturats pederastes mes buscats especialista ensuccessos tribunals assumptes policials cossos emergencies
Assassinat Consumat;Ara;dona cremada bages denunciat marit violencia masclista barcelonael crim dona cremada descobert matinada sant vicenc castellet bages numeros nou assassinat masclista principal hipotesi home acabat vida parella calat foc suicidar filla anys matrimoni escena crim acabat ferida cremades familia vivia terrassa mesos abril dona denunciat marit violencia verbal judici octubre parella tambe divorciant segons jutjat violencia dona terrassa portava denuncia violencia masclista tramit civil trobat matinada cadaver dona totalment calcinat despres rebut avis incendi zona matolls costat carretera bv metres localitzat cotxe home mort vehicle tambe filla parella apunta ell suicidat interior cotxe cinturo vehicle nena atesa sem cremades lleus traslladada hospital manresa revisio medica direccio atencio infancia adolescencia dgaia quedat menor trobi familiar faci carrec
Homicidi Consumat;El Periódico;camioner mata atropellar despres discussio transit camioner matat atropellant despres discussio transita jonquera girona iha fugit direccio contraria fet provocat accidental col lidir vehicle rotonda ii segons informen fets passat cap hores local jonquera detingut presumpta conduccio temeraria mes positiu prova alcoholemia
Assassinat Consumat;Ara;critiquen dona assassinada sant vicenc castellet tingues ordre allunyament marit assassinat dona divendres sant vicenc castellet bages apunta nou cas violencia masclista marit hauria suicidat cotxe despres matar filla anys matrimoni fet esclatar grup acompanyament victimes violencia masclista punt lila sant pere terrassa ates victima comunicat lamentat jutge hagues decidit calia cap ordre allunyament marit dona veina municipi valles occidental denunciat afegit intentat diverses vegades posar denuncies agressor comissaria segons informar tribunal superior justicia catalunya tsjc victima hauria denunciat presumpte assassi abril violencia verbal judici cas celebrar proxim mes octubre tramitava paral lel procediment divorci punt lila sant pere expliquen dona assassinada deia antonella tenia anys mort victima violencia roina cruel home dolent critiquen espera celebres judici hagues previst cap mesura proteccio veure obligada viure sostre assassi aixo emes comunicat denuncien ineficacia sistema judicial resposta insuficient sistema benestar social recursos municipals casos violencia masclista antonella pot nomes xifra nom reciti novembre marc lamenten
Assassinat Consumat;El Periódico;preso provisional home matar presumptament parella cambrils tarragona eljutjat instruccio reus camp tarragona enviat preso provisional fianca home presumptament matat parella mes homicidi investiga delictes trencament condemna tenia unaordre allunyament imaltractament ambit familiar
Homicidi per imprudència;El Periódico;preso carnet camioner detingut atropellament mortal jonquera jutjat instruccio figueres alt emporda girona enviat apreso provisional fiancael camioner detingut diumenge presumpte delicte homicidi imprudent greu home queva atropellar mortalment vianant jonquera hanretirat carnet jutge tambe atribueix quatre presumptes delictes omissio socors accident imprudent presumpte delicte conduccio temeraria conduir ebri lesions imprudencia greu
